Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
67335775,12/30/2025 10:52:55 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
67329354,12/29/2025 05:40:14 PM,03/11/2026 02:44:36 PM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,Closed,,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",03/11/2026 02:44:40 PM,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,QUEENS,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
67277487,12/23/2025 12:04:21 PM,03/11/2026 02:35:00 PM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,Closed,,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",03/11/2026 02:35:02 PM,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",PHONE,Unspecified,QUEENS,Car Service,QUEENS,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
67273967,12/22/2025 07:27:58 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Highway,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",Van Wyck Expwy,North/Bronx Bound,Ramp,Jamaica Ave Hillside Ave (Exit 6),40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
67254238,12/20/2025 08:24:14 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Report,Car Service Company Report,Unlicensed/Unauthorized,,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
67199698,12/15/2025 05:05:42 AM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Report,Car Service Company Report,Unlicensed/Unauthorized,,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
67089128,12/07/2025 11:25:30 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Report,Car Service Company Report,Unlicensed/Unauthorized,,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",PHONE,Unspecified,QUEENS,,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
67012871,12/01/2025 10:05:41 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,MANHATTAN,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
67001665,12/01/2025 12:10:04 AM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,QUEENS,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
66953982,11/25/2025 11:06:30 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Report,Car Service Company Report,Unlicensed/Unauthorized,,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
