quarter,year,citation_no,precinct,citations_given,borough
Q1,2025,19-506(b)(1),100,0,Queens
Q1,2025,19-506(b)(1),101,0,Queens
Q1,2025,19-506(b)(1),102,2,Queens
Q1,2025,19-506(b)(1),103,46,Queens
Q1 ,2025,19-506(b)(1),104,0,Queens
Q1 ,2025,19-506(b)(1),105,13,Queens
Q1 ,2025,19-506(b)(1),106,4,Queens
Q1 ,2025,19-506(b)(1),107,0,Queens
Q1 ,2025,19-506(b)(1),108,5,Queens
Q1,2025,19-506(b)(1),109,9,Queens
Q1,2025,19-506(b)(1),110,13,Queens
Q1,2025,19-506(b)(1),111,0,Queens
Q1,2025,19-506(b)(1),112,1,Queens
Q1 ,2025,19-506(b)(1),113,12,Queens
Q1 ,2025,19-506(b)(1),114,0,Queens
Q1 ,2025,19-506(b)(1),115,18,Queens
Q1 ,2025,19-506(b)(1),JFK,398,Queens
Q1 ,2025,19-506(b)(1),LGA,96,Queens
Q1,2025,19-506(b)(2),100,0,Queens
Q1,2025,19-506(b)(2),101,0,Queens
Q1,2025,19-506(b)(2),102,0,Queens
Q1,2025,19-506(b)(2),103,0,Queens
Q1 ,2025,19-506(b)(2),104,0,Queens
Q1 ,2025,19-506(b)(2),105,0,Queens
Q1 ,2025,19-506(b)(2),106,0,Queens
Q1 ,2025,19-506(b)(2),107,0,Queens
Q1 ,2025,19-506(b)(2),108,0,Queens
Q1,2025,19-506(b)(2),109,0,Queens
Q1,2025,19-506(b)(2),110,0,Queens
Q1,2025,19-506(b)(2),111,0,Queens
Q1,2025,19-506(b)(2),112,0,Queens
Q1 ,2025,19-506(b)(2),113,0,Queens
Q1 ,2025,19-506(b)(2),114,0,Queens
Q1 ,2025,19-506(b)(2),115,0,Queens
Q1 ,2025,19-506(b)(2),JFK,2,Queens
Q1 ,2025,19-506(b)(2),LGA,0,Queens
Q1,2025,19-506(c)(1),100,0,Queens
Q1,2025,19-506(c)(1),101,0,Queens
Q1,2025,19-506(c)(1),102,0,Queens
Q1,2025,19-506(c)(1),103,0,Queens
Q1 ,2025,19-506(c)(1),104,0,Queens
Q1 ,2025,19-506(c)(1),105,0,Queens
Q1 ,2025,19-506(c)(1),106,0,Queens
Q1 ,2025,19-506(c)(1),107,0,Queens
Q1 ,2025,19-506(c)(1),108,0,Queens
Q1,2025,19-506(c)(1),109,0,Queens
Q1,2025,19-506(c)(1),110,0,Queens
Q1,2025,19-506(c)(1),111,0,Queens
Q1,2025,19-506(c)(1),112,0,Queens
Q1 ,2025,19-506(c)(1),113,0,Queens
Q1 ,2025,19-506(c)(1),114,0,Queens
Q1 ,2025,19-506(c)(1),115,0,Queens
Q1 ,2025,19-506(c)(1),JFK,0,Queens
Q1 ,2025,19-506(c)(1),LGA,5,Queens
Q1,2025,19-506(d),100,0,Queens
Q1,2025,19-506(d),101,0,Queens
Q1,2025,19-506(d),102,0,Queens
Q1,2025,19-506(d),103,0,Queens
Q1 ,2025,19-506(d),104,0,Queens
Q1 ,2025,19-506(d),105,0,Queens
Q1 ,2025,19-506(d),106,3,Queens
Q1 ,2025,19-506(d),107,0,Queens
Q1 ,2025,19-506(d),108,1,Queens
Q1,2025,19-506(d),109,0,Queens
Q1,2025,19-506(d),110,0,Queens
Q1,2025,19-506(d),111,0,Queens
Q1,2025,19-506(d),112,0,Queens
Q1 ,2025,19-506(d),113,0,Queens
Q1 ,2025,19-506(d),114,0,Queens
Q1 ,2025,19-506(d),115,1,Queens
Q1 ,2025,19-506(d),JFK,13,Queens
Q1 ,2025,19-506(d),LGA,5,Queens
Q2,2025,19-506(b)(1),100,0,Queens
Q2,2025,19-506(b)(1),101,0,Queens
Q2,2025,19-506(b)(1),102,2,Queens
Q2,2025,19-506(b)(1),103,46,Queens
Q2,2025,19-506(b)(1),104,0,Queens
Q2,2025,19-506(b)(1),105,13,Queens
Q2,2025,19-506(b)(1),106,4,Queens
Q2,2025,19-506(b)(1),107,0,Queens
Q2,2025,19-506(b)(1),108,5,Queens
Q2,2025,19-506(b)(1),109,9,Queens
Q2,2025,19-506(b)(1),110,13,Queens
Q2,2025,19-506(b)(1),111,0,Queens
Q2,2025,19-506(b)(1),112,1,Queens
Q2,2025,19-506(b)(1),113,12,Queens
Q2,2025,19-506(b)(1),114,0,Queens
Q2,2025,19-506(b)(1),115,18,Queens
Q2,2025,19-506(b)(1),JFK,398,Queens
Q2,2025,19-506(b)(1),LGA,96,Queens
Q1 ,2025,19-506(b)(2),100,0,Queens
Q2,2025,19-506(b)(2),101,0,Queens
Q2,2025,19-506(b)(2),102,0,Queens
Q2,2025,19-506(b)(2),103,0,Queens
Q2,2025,19-506(b)(2),104,0,Queens
Q2,2025,19-506(b)(2),105,0,Queens
Q2,2025,19-506(b)(2),106,0,Queens
Q2,2025,19-506(b)(2),107,0,Queens
Q2,2025,19-506(b)(2),108,0,Queens
Q2,2025,19-506(b)(2),109,0,Queens
Q2,2025,19-506(b)(2),110,0,Queens
Q2,2025,19-506(b)(2),111,0,Queens
Q2,2025,19-506(b)(2),112,0,Queens
Q2,2025,19-506(b)(2),113,0,Queens
Q2,2025,19-506(b)(2),114,0,Queens
Q2,2025,19-506(b)(2),115,0,Queens
Q2,2025,19-506(b)(2),JFK,0,Queens
Q2,2025,19-506(b)(2),LGA,0,Queens
Q2,2025,19-506(c)(1),100,0,Queens
Q2,2025,19-506(c)(1),101,0,Queens
Q2,2025,19-506(c)(1),102,0,Queens
Q2,2025,19-506(c)(1),103,0,Queens
Q2,2025,19-506(c)(1),104,0,Queens
